starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 23:32:37 2014	1391747557	0	59	59	58
Thu Feb 06 23:32:32 2014	1391747552	0	59	59	58
Thu Feb 06 23:32:36 2014	1391747556	0	59	59	57
Thu Feb 06 23:32:32 2014	1391747552	0	59	59	58
Thu Feb 06 23:32:37 2014	1391747557	0	59	59	59
Thu Feb 06 23:32:35 2014	1391747555	0	59	59	59
Thu Feb 06 23:32:37 2014	1391747557	0	59	59	58
Thu Feb 06 23:32:37 2014	1391747557	0	59	59	59
Thu Feb 06 23:32:32 2014	1391747552	0	59	59	59
Thu Feb 06 23:32:37 2014	1391747557	0	59	59	57
Thu Feb 06 23:32:37 2014	1391747557	0	59	59	58
Thu Feb 06 23:32:35 2014	1391747555	0	59	59	59
Thu Feb 06 23:32:37 2014	1391747557	0	60	60	58
Thu Feb 06 23:32:37 2014	1391747557	0	60	60	59
Thu Feb 06 23:32:35 2014	1391747555	0	60	60	57
Thu Feb 06 23:32:35 2014	1391747555	0	60	60	59
Thu Feb 06 23:32:37 2014	1391747557	0	60	60	59
Thu Feb 06 23:32:36 2014	1391747556	0	60	60	58
Thu Feb 06 23:32:35 2014	1391747555	0	60	60	58
Thu Feb 06 23:32:37 2014	1391747557	0	60	60	59
Thu Feb 06 23:32:32 2014	1391747552	0	60	60	59
Thu Feb 06 23:32:35 2014	1391747555	0	60	60	60
Thu Feb 06 23:32:37 2014	1391747557	0	60	60	58
Thu Feb 06 23:32:33 2014	1391747553	0	60	60	59
Thu Feb 06 23:32:37 2014	1391747557	0	61	61	60
Thu Feb 06 23:32:32 2014	1391747552	0	61	61	60
Thu Feb 06 23:32:35 2014	1391747555	0	61	61	58
Thu Feb 06 23:32:36 2014	1391747556	0	61	61	59
Thu Feb 06 23:32:32 2014	1391747552	0	61	61	61
Thu Feb 06 23:32:36 2014	1391747556	0	61	61	58
Thu Feb 06 23:32:36 2014	1391747556	0	61	61	61
Thu Feb 06 23:32:35 2014	1391747555	0	61	61	61
Thu Feb 06 23:32:35 2014	1391747555	0	61	61	60
Thu Feb 06 23:32:35 2014	1391747555	0	61	61	60
Thu Feb 06 23:32:35 2014	1391747555	0	61	61	60
Thu Feb 06 23:32:35 2014	1391747555	0	61	61	59
Thu Feb 06 23:32:32 2014	1391747552	0	61	61	61
Thu Feb 06 23:32:37 2014	1391747557	0	61	61	61
Thu Feb 06 23:32:37 2014	1391747557	0	61	61	60
Thu Feb 06 23:32:37 2014	1391747557	0	61	61	61
Thu Feb 06 23:32:37 2014	1391747557	0	62	62	57
Thu Feb 06 23:32:35 2014	1391747555	0	62	62	62
Thu Feb 06 23:32:35 2014	1391747555	0	62	62	62
Thu Feb 06 23:32:35 2014	1391747555	0	62	62	61
Thu Feb 06 23:32:36 2014	1391747556	0	62	62	60
Thu Feb 06 23:32:36 2014	1391747556	0	62	62	61
Thu Feb 06 23:32:32 2014	1391747552	0	62	62	61
Thu Feb 06 23:32:35 2014	1391747555	0	62	62	60
Thu Feb 06 23:32:33 2014	1391747553	0	62	62	62
Thu Feb 06 23:32:36 2014	1391747556	0	62	62	61
Thu Feb 06 23:32:35 2014	1391747555	0	62	62	60
Thu Feb 06 23:32:36 2014	1391747556	0	62	62	61
Thu Feb 06 23:32:37 2014	1391747557	0	62	62	62
Thu Feb 06 23:32:32 2014	1391747552	0	62	62	59
Thu Feb 06 23:32:32 2014	1391747552	0	62	62	62
Thu Feb 06 23:32:37 2014	1391747557	0	62	62	62
Thu Feb 06 23:32:35 2014	1391747555	0	62	62	62
Thu Feb 06 23:32:32 2014	1391747552	0	62	62	62
Thu Feb 06 23:32:37 2014	1391747557	0	62	62	54
Thu Feb 06 23:32:37 2014	1391747557	0	62	62	62
Thu Feb 06 23:32:32 2014	1391747552	0	62	62	62
Thu Feb 06 23:32:36 2014	1391747556	0	62	62	62
Thu Feb 06 23:32:32 2014	1391747552	0	63	63	61
Thu Feb 06 23:32:35 2014	1391747555	0	63	63	62
Thu Feb 06 23:32:32 2014	1391747552	0	63	63	58
Thu Feb 06 23:32:35 2014	1391747555	0	63	63	63
Thu Feb 06 23:32:32 2014	1391747552	0	63	63	63
Thu Feb 06 23:32:35 2014	1391747555	0	63	63	63
Thu Feb 06 23:32:33 2014	1391747553	0	63	63	62
Thu Feb 06 23:32:35 2014	1391747555	0	63	63	63
Thu Feb 06 23:32:36 2014	1391747556	0	63	63	63
Thu Feb 06 23:32:35 2014	1391747555	0	63	63	63
Thu Feb 06 23:32:35 2014	1391747555	0	63	63	62
Thu Feb 06 23:32:37 2014	1391747557	0	63	63	62
Thu Feb 06 23:32:35 2014	1391747555	0	63	63	63
Thu Feb 06 23:32:32 2014	1391747552	19	44	63	44
Thu Feb 06 23:32:35 2014	1391747555	0	63	63	61
Thu Feb 06 23:32:35 2014	1391747555	0	63	63	63
Thu Feb 06 23:32:32 2014	1391747552	21	42	63	42
