starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 19:58:34 2014	1391745514	464	5155	5620	5155
Thu Feb 06 19:58:36 2014	1391745516	406	5216	5622	5215
Thu Feb 06 19:57:42 2014	1391745462	465	5177	5642	5177
Thu Feb 06 19:58:09 2014	1391745489	451	5201	5652	5200
Thu Feb 06 19:58:48 2014	1391745528	460	5212	5673	5212
Thu Feb 06 19:58:48 2014	1391745528	460	5213	5673	5212
Thu Feb 06 19:58:54 2014	1391745534	412	5265	5677	5264
Thu Feb 06 19:58:54 2014	1391745534	412	5278	5690	5278
Thu Feb 06 19:58:19 2014	1391745499	454	5241	5695	5241
Thu Feb 06 19:58:18 2014	1391745498	458	5242	5700	5242
Thu Feb 06 19:58:46 2014	1391745526	592	5116	5707	303
Thu Feb 06 19:58:46 2014	1391745526	467	5251	5719	305
Thu Feb 06 19:57:54 2014	1391745474	456	5263	5719	302
Thu Feb 06 19:58:01 2014	1391745481	580	5147	5728	5147
Thu Feb 06 19:57:56 2014	1391745476	464	5273	5737	5273
Thu Feb 06 19:58:01 2014	1391745481	456	5286	5743	5286
Thu Feb 06 19:58:34 2014	1391745514	460	5284	5744	5284
Thu Feb 06 19:58:34 2014	1391745514	461	5284	5745	5284
Thu Feb 06 19:58:55 2014	1391745535	596	5150	5745	5150
Thu Feb 06 19:58:34 2014	1391745514	587	5170	5757	5170
Thu Feb 06 19:58:18 2014	1391745498	464	5294	5757	5294
Thu Feb 06 19:57:48 2014	1391745468	483	5276	5759	5276
Thu Feb 06 19:57:53 2014	1391745473	461	5298	5759	5298
Thu Feb 06 19:57:43 2014	1391745463	471	5289	5760	5289
Thu Feb 06 19:57:48 2014	1391745468	484	5277	5761	5277
Thu Feb 06 19:57:42 2014	1391745462	462	5302	5764	300
Thu Feb 06 19:58:01 2014	1391745481	593	5171	5764	5171
Thu Feb 06 19:58:01 2014	1391745481	593	5171	5764	5171
Thu Feb 06 19:58:01 2014	1391745481	595	5171	5765	5170
Thu Feb 06 19:58:01 2014	1391745481	594	5171	5765	5171
Thu Feb 06 19:58:00 2014	1391745480	467	5298	5766	5298
Thu Feb 06 19:58:18 2014	1391745498	459	5307	5767	5307
Thu Feb 06 19:57:49 2014	1391745469	471	5298	5769	5298
Thu Feb 06 19:58:00 2014	1391745480	471	5299	5769	5298
Thu Feb 06 19:58:34 2014	1391745514	470	5300	5770	5299
Thu Feb 06 19:58:39 2014	1391745519	441	5329	5770	320
Thu Feb 06 19:58:04 2014	1391745484	477	5297	5774	282
Thu Feb 06 19:58:41 2014	1391745521	452	5326	5778	5326
Thu Feb 06 19:57:49 2014	1391745469	470	5311	5781	5311
Thu Feb 06 19:57:49 2014	1391745469	470	5312	5782	5312
Thu Feb 06 19:58:34 2014	1391745514	458	5326	5784	296
Thu Feb 06 19:57:49 2014	1391745469	471	5315	5786	5315
