starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 23:06:27 2014	1391745987	0	5053	5053	5053
Thu Feb 06 23:07:08 2014	1391746028	0	5053	5053	5053
Thu Feb 06 23:07:50 2014	1391746070	0	5053	5053	5053
Thu Feb 06 23:07:17 2014	1391746037	0	5056	5056	5056
Thu Feb 06 23:07:41 2014	1391746061	0	5057	5057	5057
Thu Feb 06 23:07:50 2014	1391746070	0	5064	5064	5064
Thu Feb 06 23:07:50 2014	1391746070	0	5068	5068	5068
Thu Feb 06 23:07:31 2014	1391746051	0	5077	5077	5077
Thu Feb 06 23:06:32 2014	1391745992	0	5088	5088	5088
Thu Feb 06 23:07:25 2014	1391746045	0	5095	5095	5095
Thu Feb 06 23:07:50 2014	1391746070	0	5096	5096	5096
Thu Feb 06 23:07:50 2014	1391746070	0	5098	5098	5098
Thu Feb 06 23:07:08 2014	1391746028	0	5101	5101	5100
Thu Feb 06 23:06:09 2014	1391745969	0	5106	5106	5106
Thu Feb 06 23:06:27 2014	1391745987	0	5110	5110	5110
Thu Feb 06 23:06:32 2014	1391745992	0	5122	5122	5122
Thu Feb 06 23:06:09 2014	1391745969	0	5124	5124	5124
Thu Feb 06 23:06:32 2014	1391745992	0	5131	5131	5130
Thu Feb 06 23:06:32 2014	1391745992	0	5136	5136	5136
Thu Feb 06 23:06:19 2014	1391745979	0	5147	5147	5147
Thu Feb 06 23:07:25 2014	1391746045	0	5149	5149	5149
Thu Feb 06 23:07:50 2014	1391746070	0	5149	5149	5149
Thu Feb 06 23:06:27 2014	1391745987	0	5150	5150	5150
Thu Feb 06 23:07:25 2014	1391746045	0	5152	5152	5152
Thu Feb 06 23:07:50 2014	1391746070	0	5153	5153	5153
Thu Feb 06 23:07:50 2014	1391746070	0	5160	5160	5160
Thu Feb 06 23:07:45 2014	1391746065	0	5160	5160	5160
Thu Feb 06 23:06:26 2014	1391745986	0	5171	5171	5171
Thu Feb 06 23:06:19 2014	1391745979	0	5184	5184	5183
Thu Feb 06 23:07:50 2014	1391746070	0	5195	5195	5195
Thu Feb 06 23:07:25 2014	1391746045	0	5196	5196	5196
Thu Feb 06 23:07:50 2014	1391746070	0	5197	5197	5197
Thu Feb 06 23:06:32 2014	1391745992	0	5197	5197	5197
Thu Feb 06 23:07:25 2014	1391746045	0	5203	5203	5203
Thu Feb 06 23:07:50 2014	1391746070	0	5204	5204	5204
Thu Feb 06 23:07:38 2014	1391746058	0	5208	5208	5208
Thu Feb 06 23:06:27 2014	1391745987	0	5213	5213	5213
Thu Feb 06 23:06:24 2014	1391745984	0	5213	5213	5213
Thu Feb 06 23:07:25 2014	1391746045	0	5217	5217	5217
Thu Feb 06 23:07:50 2014	1391746070	0	5218	5218	5218
Thu Feb 06 23:06:35 2014	1391745995	0	5232	5232	5232
