starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 20:34:37 2014	1391736877	44	1646	1690	1646
Thu Feb 06 20:34:38 2014	1391736878	23	1670	1693	1670
Thu Feb 06 20:34:37 2014	1391736877	25	1668	1694	1668
Thu Feb 06 20:34:38 2014	1391736878	25	1669	1694	1669
Thu Feb 06 20:34:38 2014	1391736878	14	1680	1694	1679
Thu Feb 06 20:34:37 2014	1391736877	34	1662	1696	1662
Thu Feb 06 20:34:38 2014	1391736878	17	1680	1697	1679
Thu Feb 06 20:35:00 2014	1391736900	32	1665	1697	1664
Thu Feb 06 20:34:38 2014	1391736878	27	1670	1697	1670
Thu Feb 06 20:35:00 2014	1391736900	37	1660	1697	1660
Thu Feb 06 20:34:38 2014	1391736878	23	1675	1698	1674
Thu Feb 06 20:35:00 2014	1391736900	38	1661	1698	1660
Thu Feb 06 20:35:00 2014	1391736900	32	1667	1700	1667
Thu Feb 06 20:34:38 2014	1391736878	16	1685	1700	1683
Thu Feb 06 20:35:00 2014	1391736900	14	1689	1703	1689
Thu Feb 06 20:34:45 2014	1391736885	17	1691	1708	1438
Thu Feb 06 20:34:38 2014	1391736878	20	1692	1712	1692
Thu Feb 06 20:34:38 2014	1391736878	21	1692	1713	1692
Thu Feb 06 20:34:38 2014	1391736878	25	1688	1713	1688
Thu Feb 06 20:35:01 2014	1391736901	32	1682	1714	1682
Thu Feb 06 20:34:37 2014	1391736877	18	1697	1715	1696
Thu Feb 06 20:34:37 2014	1391736877	19	1696	1715	1695
Thu Feb 06 20:34:38 2014	1391736878	23	1693	1716	1692
Thu Feb 06 20:34:37 2014	1391736877	22	1694	1716	1694
Thu Feb 06 20:34:37 2014	1391736877	25	1694	1719	1694
Thu Feb 06 20:34:37 2014	1391736877	25	1694	1719	1694
Thu Feb 06 20:34:37 2014	1391736877	25	1695	1720	1694
Thu Feb 06 20:34:38 2014	1391736878	19	1701	1721	1701
Thu Feb 06 20:35:01 2014	1391736901	16	1708	1724	1707
Thu Feb 06 20:34:37 2014	1391736877	25	1700	1725	1700
Thu Feb 06 20:34:37 2014	1391736877	27	1698	1725	1697
Thu Feb 06 20:34:38 2014	1391736878	20	1708	1728	1707
Thu Feb 06 20:34:38 2014	1391736878	19	1717	1736	1716
Thu Feb 06 20:35:01 2014	1391736901	15	1722	1737	1721
